prompt,output
"Context: Fibber McGee and Molly originated when the small-time husband-and-wife vaudevillians began their third year as Chicago-area radio performers. Two of the shows they did for station WENR beginning in 1927, both written by Harry Lawrence, bore trac Question: Who were the sponsors? Answer: None. Question: Were the Jordans in vaudeville before radio? Answer: Fibber McGee and Molly originated when the small-time husband-and-wife vaudevillians began their third year as Chicago-area radio performers. Question: What kind of vaudeville act did they have? Answer: Two of the shows they did for station WENR beginning in 1927, both written by Harry Lawrence, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Oh baby.... Elvis Presley is truly The King of Rock and Roll!  Apprentice: yes...who doesn't love Elvis Presley and his music?  Wizard: Seriously. I have been planning a vaction to Graceland myself. I have family in Tennessee so it could be good.  Apprentice: I would love to tour his home.  Which one of his songs is your favorite?/",<pad> The King of Rock and Roll</s>
"Context: When Starr married Maureen Cox in 1965, Beatles manager Brian Epstein served as best man, with Starr's stepfather Harry Graves and fellow Beatle George Harrison as witnesses. Soon afterwards, the couple's matrimony became the subject of a US novelty song, ""Treat Him Tender, Maureen"", by the Chicklettes. Starr and Maureen had three children together: Zak (born Question: Did he have kids with his second wife? Answer: None. Question: Was he ever married? Answer: Starr married Maureen Cox in 1965, Question: Did they have any kid? Answer: Starr and Maureen had three children together: Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is the second largest island in the British Isles, after Great Britain. Conversation:  Apprentice: What do you know about ireland?  Wizard: Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?  Apprentice: Exactly, do you know any thing about Island north Atlantic?","<pad> Starr married Maureen Cox in 1965, and they had three children together: Za"
"Context: Bloc Party's second album, A Weekend in the City, was produced by Garret ""Jacknife"" Lee. It was released in February 2007, although it was leaked in November 2006. It became available for download on the UK iTunes Store before the physical release, and reached the number 2 spot on the UK Albums Chart. The album Question: Has this band won any awards? Answer: None. Question: What is ""A Weekend in the City""? Answer: Bloc Party's second album, A Weekend in the City, Question: Was this album successful? Answer: reached the number 2 spot on the UK Albums Chart. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In modern times, it is mainly a competitive sport and recreational activity. Conversation:  Apprentice: I recently took up archery and I think I love it. Do you know anything about Archery?  Wizard: Archery is a sport/skill of using a bow to propel arrows.  Apprentice: And a great sport it is. Do you know where archery originated from?","<pad> Bloc Party's second album, A Weekend in the City</s>"
"Context: The group Girls Aloud was formed on 30 November 2002, in front Question: Was there any other hit songs? Answer: None. Question: What is Popstars: The Rivals about? Answer: The group Girls Aloud was formed on 30 November 2002, Question: When was the Popstars: The Rivals Released? Answer: 2002 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Both folklore and archaeological finds show that the breed originated in Mexico. Conversation:  Apprentice: I love chihuahuas, I have 2 of them.  Wizard: Wow chihuahua are something else. Tiny and the smallest breed of dog.  Apprentice: Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",<pad> Popstars: The Rivals</s>
"Context: The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer-guitarist Jeff Hanna and singer-songwriter guitarist Bruce Kunkel who had p Question: What album did they release during this period? Answer: None. Question: What were beginning years like for the band? Answer: The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California Question: Who were the founding members of the band? Answer: singer-guitarist Jeff Hanna and singer-songwriter guitarist Bruce Kunkel Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Wizard: What is your motivation for your actions related to education, work, etc.?  Apprentice: That's a tough question. I'd say my own progress. I like seeing how much I improve with something. You?  Wizard: I am retired now.  Are you familiar with the work of Mehr and Meyer, well known psychologists?  Apprentice: I am not. Could you tell me about them?","<pad> The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer"
"Context: On May 31, 2007, Asthmatic Kitty announced that Stevens would be premiering a new project titled The BQE in early November 2007. The project, dubbed a ""symphonic and cinematic exploration of New York City's infamous Brooklyn-Queens Expressway"", was manifested in a live show. The BQE f Question: What did critics say about the BQE? Answer: None. Question: What was the BQE? Answer: ""symphonic and cinematic exploration of New York City's infamous Brooklyn-Queens Expressway"", Question: Was it a show or a type of album? Answer: was manifested in a live show. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: I enjoy going out in the woods to hunt animals.  Apprentice: Hi. What sort of animals?  Wizard: The animals I would hunt are elk, mule deer, pheasants and Canadian geese. We would also hunt gophers because they would over populate and become pests.  Apprentice: I can understand about the gophers. And the geese. Canada geese are a scourge!",<pad> The BQE was a live show.</s>
"Context: McDonald has also made many television appearances, both musical and dramatic. In 2001, she received her first Emmy Award nomination for Outstanding Supporting Actress in a Miniseries or Movie for the HBO film Wit, starring  Question: Did she win any awards in television? Answer: None. Question: What did she do in television? Answer: In 2001, she received her first Emmy Award nomination for Outstanding Supporting Actress in a Miniseries or Movie for the HBO film Question: Which HBO film? Answer: Wit, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: The Walking Dead is a kewl post apocalyptic horror tv show.  Apprentice: I have never watched it.  Who is in the show?  Wizard: The lead character is named Andrew Lincoln. The Sheriff's deputy is Rick Grimes.   Apprentice: When did the series start?  ",<pad> The Walking Dead</s>
"Context: In 1875, Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in the Grant administration continued to be the subject of investigations and media revelations. Westerners unhappy with Delano's rulings on land grants and other issues accused Delano's son John, an employ Question: who is grant? Answer: None. Question: why did he resign? Answer: In 1875, Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in the Grant administration continued to be the subject of investigations and media revelations. Question: who was Delano? Answer: Westerners unhappy with Delano's rulings on land grants and other issues accused Delano's son John, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Harry Potter is a series of fantasy novels, do you know of them?  Apprentice: I do know them, but I have only seen the movies, I never read the books  Wizard: Ah well if you have only seen the movie you may not know that J.K Rowling wrote the books.  Apprentice: I have heard that, I recognize her name, I know she is very famous",<pad> Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in
"Context: Their debut album, Bela Fleck and the Flecktones (Warner Bros, 1989), receive Question: What is the name of a song from the album? Answer: None. Question: What did the Flecktones record? Answer: Their debut album, Bela Fleck and the Flecktones ( Question: When was their debut album released? Answer: 1989 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Henry made his professional debut with Monaco in 1994. Conversation:  Apprentice: Thierry Henry is one of my all time favorite players. What about you?  Wizard: He was good.  he is a retired French professional footballer  Apprentice: Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.",<pad> Thierry Henry made his professional debut with Monaco in 1994. He retired many years ago. He
"Context: Starting on 13 September and ending on 9 November 2004, Daft Punk devoted six weeks to the creation of new material. The duo later released the resulting album Human After All in March 2005. Reviews w Question: Did any of them chart? Answer: None. Question: What did the group do in 2004? Answer: Starting on 13 September and ending on 9 November 2004, Daft Punk devoted six weeks to the creation of new material. Question: Did they make a new album? Answer: The duo later released the resulting album Human After All in March 2005. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: Ive been hunting now for about 8 years, its really fun and I do it for the sport, Have you ever been hunting before?   Apprentice: No, i haven't. It's not really my cup of tea.  Wizard: I have mostly used hunting as a means of pest control, I have an invasive species of warthogs on my land and they destroy my crops.   Apprentice: Yes, that is completely understandable. Are warthogs edible?","<pad> Yes, they are.</s>"
