,episode_idx,topic,round,message,response,knowledge,gold,Q2
1,1,Ireland,3,"Exactly, do you know any thing about Island north Atlantic?","Starr married Maureen Cox in 1965, and they had three children together: Za","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,0.0
4,4,Motivation,4,I am not. Could you tell me about them?,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer","Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".","They said that ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""  Do you agree with what they said?",0.0
7,7,Harry Potter,4,"I have heard that, I recognize her name, I know she is very famous",Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.","Yeah she wasn't famous before writing Harry Potter, she says she came up with the idea while on a delayed train from Manchester to London in 1990.",0.0
8,8,Thierry Henry,3,Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,At international level he represented France and is his country's record goalscorer.,"He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere ",0.0
10,10,Broken heart,3,"I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.",Lawrence and Solter in 1909 were able to join the Independent Moving Pictures Company of America,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.",0.0
11,11,List of national parks of the United States,3,"Yes, I have never been there but I would love to go, have you been?",Jefferson's earnings reputedly enabled him to buy a car and employ chauffeurs,no_passages_used,"I have! I've also been to Rock Creek Park, Yosemite, and Mackinac National Park!",0.0
12,12,Discovery Channel,4,It was? I haven't been around for long enough to have seen that.,"The first single ""Ah! Leah!"" peaked at #29 on the Bill","Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.","itspopular too, discovery channel is the third most distributed on cabel",0.0
14,14,Guns N' Roses,3,Id say my favorite is Appetite for destruction ,"Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Yes that is  good.  They have released six studio albums and sold more than 100 million records worldwide.,0.0
15,15,Nickelback,3,"The lead singer was very funny during the set, I forget his name though.",The album earned him Billboard and Univision's Latin Music Award for Mexican Regional Male Artist,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",I wasn't aware at first but Nickelback is not American there originating from Canada,0.0
16,16,Elvis Presley,4,Can you tell me more about that magazine?,"Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience","Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.","They started in 1992, and have done colorful interviews with bands like KISS",0.0
17,17,Bowling,3,"Yeah, its sort of an older persons activity like bingo, it's not so much that younger people cant do it, its just not the primary audience","Daniel Barenboim was born in 1942 in Buenos Aires, Argentina.","Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.","That reminds me, have you ever heard of the band Let's Go Bowling? It's a ska band from California.",0.0
22,22,"On-again, off-again relationship",3,"Yes, i am most times emotionally unstable, i wonder if true love exists? where you love each other all the way down, and no on and off again.",Peale married Rachel Brewer in 1762.,no_passages_used,Did you ever go back to your partner for comfort?,0.0
23,23,The Walking Dead (TV series),4,He does a decent job. He has been meme'd to death because of that role.,The Walking Dead is an American post-apocalyptic thriller.,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",I liked it when he awakens from a coma to find the world that he new is now overrun by zombies.,0.0
24,24,Dylan's Candy Bar,3,They have everything! i just love it,"Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inherit","Founder Dylan Lauren was featured on the cover of the May 2011 ""Forbes"" magazine for inheriting her father's entrepreneurial genes.",Yes Ralph Laurens daughter Dylan  Lauren owns them,1.0
30,30,Cod,4,"Most cod sold in stores is farm raised, and also the cod you eat in restaurants.",The nonet recorded twelve tracks for Capitol during three sessions over the course of nearly a year,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).",I read that it is a popular food with a mild flavor and a dense flaky flesh,0.0
