,id,response,cand,question,knowledge,knowledge_ans,score
0,0,fibber mcgee and molly,NO_Q,NO_Q,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",NO_Q,-1.0
1,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",1965,Starr married Maureen Cox,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
2,2,the upper paleolithic,NO_Q,NO_Q,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",NO_Q,-1.0
3,3,popstars: the rivals,NO_Q,NO_Q,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,NO_Q,-1.0
4,4,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer",The Nitty Gritty Dirt Band,Dirt Band,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
5,5,the bqe was a live show.,NO_Q,NO_Q,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",NO_Q,-1.0
6,6,the walking dead,NO_Q,NO_Q,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",NO_Q,-1.0
7,7,Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,increasing scrutiny,increase,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.","since the release of the first novel, ""harry potter and the philosopher's stone"", on 26 june 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",0.0
8,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,Thierry Henry,former footballer,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
9,9,"yes, they are.",NO_Q,NO_Q,The species that are hunted are referred to as game or prey and are usually mammals and birds.,NO_Q,-1.0
10,10,Lawrence and Solter in 1909 were able to join the Independent Moving Pictures Company of America,1909,In what year did Lawrence and Solter join the Independent Moving Pictures Company of America?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
11,11,Jefferson's earnings reputedly enabled him to buy a car and employ chauffeurs,Jefferson,Jefferson's earnings supposedly enabled him to buy a car and employ chauffeurs,no_passages_used,[CLS],0.0
