,id,response,cand,question,knowledge,knowledge_ans,score
0,0,the king of rock and roll,NO_Q,NO_Q,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",NO_Q,-1.0
1,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",Starr,Who married Maureen Cox?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
2,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",Maureen Cox,Who did Starr marry in 1965?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
3,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",1965,When did Starr marry Maureen Cox?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
4,1,"Starr married Maureen Cox in 1965, and they had three children together: Za",three,How many children did Starr and Cox have?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
5,2,"Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic",Drusilla,Who has all the standard powers and vulnerabilities of a vampire?,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",[CLS],0.0
6,2,"Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic",vulnerabilities,Drusilla has all the standard powers and what else of a vampire?,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",[CLS],0.0
7,2,"Drusilla has all the standard powers and vulnerabilities of a vampire, plus minor psychic",a vampire,Drusilla has all the standard powers and vulnerabilities of what?,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",[CLS],0.0
8,3,"Styron's next two novels, published between 1967 and 1979, sparked",Styron,Who wrote the next two novels?,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,[CLS],0.0
9,3,"Styron's next two novels, published between 1967 and 1979, sparked",two,How many of Styron's novels were published between 1967 and 1979?,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,[CLS],0.0
10,3,"Styron's next two novels, published between 1967 and 1979, sparked",between 1967 and 1979,When were Styron's next two novels published?,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,[CLS],0.0
11,4,Jared Leto,Jared Leto,Who is the name of the actor who was a part of the American Idol?,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
12,5,Howard's energy began to wane.,Howard,Which actor's energy began to wane?,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",[CLS],0.0
13,5,Howard's energy began to wane.,Howard's energy,What began to wane?,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",[CLS],0.0
14,6,The Walking Dead is a kewl post apocalyptic horror,The Walking Dead,What is the name of the kewl post apocalyptic horror?,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","""the walking dead""",1.0
15,6,The Walking Dead is a kewl post apocalyptic horror,a kewl post apocalyptic horror,What is The Walking Dead?,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","[CLS] what is the walking dead?[SEP] beginning with its third season, ""the walking dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series",0.0
16,7,Finding Beauty in Negative Spaces,Beauty,What is found in Negative Spaces?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
17,7,Finding Beauty in Negative Spaces,Negative Spaces,Where is Beauty found?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
18,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,Thierry Henry,Who was a coach for Belgium?,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
19,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,French,What nationality is Thierry Henry?,At international level he represented France and is his country's record goalscorer.,france,0.0
20,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,Belgium,What team did Thierry Henry coach?,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
21,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,a retired French professional footballer,What is Thierry Henry?,At international level he represented France and is his country's record goalscorer.,his country's record goalscorer,0.0
22,8,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,a coach,What was Thierry Henry's job in Belgium?,At international level he represented France and is his country's record goalscorer.,[CLS],0.0
23,9,"no, they are not edible.",NO_Q,NO_Q,The species that are hunted are referred to as game or prey and are usually mammals and birds.,NO_Q,-1.0
24,10,The 2001 Manchester derby,2001,When was the Manchester derby?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",[CLS],0.0
