,id,response,cand,question,knowledge,knowledge_ans,score
0,0,elvis presley,NO_Q,NO_Q,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.",NO_Q,-1.0
1,1,"Wizard: Yes, I know about Ireland.",Ireland,What country does Wizard know about?,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",[CLS],0.0
2,2,The Upper Paleolithic,The Upper Paleolithic,What is the name of the Paleolithic period?,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.",upper,0.6666666666666666
3,3,The Chihuahua () is the smallest breed of dog and is,The Chihuahua,What is the smallest dog breed?,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,the chihuahua,1.0
4,4,"Wizard: Yes, I am. They are psychologists who study motivation.",psychologists,What type of person studies motivation?,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
5,4,"Wizard: Yes, I am. They are psychologists who study motivation.",motivation,What do psychologists study?,"Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".",[CLS],0.0
6,5,Wizard: I enjoy going out in the woods to hunt animals. Apprentice: Hi. What,Apprentice,What is the job title of a hunter in the forest?,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",[CLS],0.0
7,6,The third season of The Walking Dead started in October 2013.,The Walking Dead,What is the name of the third season of American Idol?,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","""the walking dead""",1.0
8,6,The third season of The Walking Dead started in October 2013.,October 2013,When did the third season of The Walking Dead begin?,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",[CLS],0.0
9,6,The third season of The Walking Dead started in October 2013.,October,What month did the third season of The Walking Dead begin?,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.",[CLS],0.0
10,7,Harry Potter is a series of fantasy novels. Apprentice has only seen the movies.,Harry Potter,What is the name of the series of fantasy novels?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
11,7,Harry Potter is a series of fantasy novels. Apprentice has only seen the movies.,Apprentice,Who has only seen the movies?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
12,7,Harry Potter is a series of fantasy novels. Apprentice has only seen the movies.,fantasy novels,Harry Potter is a series of what?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",novel,0.0
13,7,Harry Potter is a series of fantasy novels. Apprentice has only seen the movies.,the movies,Apprentice has only seen what?,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",[CLS],0.0
14,8,apprentice: i think thierry henry is one of my all time favorite players. what about you,NO_Q,NO_Q,At international level he represented France and is his country's record goalscorer.,NO_Q,-1.0
15,9,"wizard: yes, they are very tasty.",NO_Q,NO_Q,The species that are hunted are referred to as game or prey and are usually mammals and birds.,NO_Q,-1.0
16,10,"Wizard: Yes, I have. It's a metaphor for major emotional and physical pain",major emotional and physical pain,What is a metaphor for?,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","""pain""",0.33333333333333337
17,11,"apprentice: i have never been to yellowstone, but i would love to go.",NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
18,12,The Discovery Channel is an American basic cable and satellite television channel. It is the flagship television property,The Discovery Channel,What is the name of the flagship television channel in America?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",[CLS],0.0
19,12,The Discovery Channel is an American basic cable and satellite television channel. It is the flagship television property,American,What is the nationality of Discovery Channel?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",american,1.0
20,12,The Discovery Channel is an American basic cable and satellite television channel. It is the flagship television property,an American basic cable and satellite television channel,What is the Discovery Channel?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",an american basic cable and satellite television channel,1.0
21,12,The Discovery Channel is an American basic cable and satellite television channel. It is the flagship television property,the flagship television property,What is the name of the Discovery Channel?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",discovery channel,0.0
22,13,apprentice: i'm a big fan of american football. do you watch it? wizard,NO_Q,NO_Q,"Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).",NO_Q,-1.0
23,14,apprentice: i love the band guns n' roses. they are my favorite band ever,NO_Q,NO_Q,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",NO_Q,-1.0
24,15,Apprentice went to a Nickelback concert this past summer. The lead singer was very funny during,Nickelback,Which band did Apprentice go to?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
25,15,Apprentice went to a Nickelback concert this past summer. The lead singer was very funny during,this past summer,When did Apprentice go to a Nickelback concert?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
26,15,Apprentice went to a Nickelback concert this past summer. The lead singer was very funny during,Apprentice,Who went to a Nickelback concert this summer?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
27,15,Apprentice went to a Nickelback concert this past summer. The lead singer was very funny during,a Nickelback concert,What did Apprentice go to this summer?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
28,15,Apprentice went to a Nickelback concert this past summer. The lead singer was very funny during,The lead singer,Who was funny during the show?,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",[CLS],0.0
29,16,"Wizard: Yes, I love classic rock, especially from the 50s. Rock N Roll Experience",classic rock,What genre of music does Wizard love?,"Hard rock developed into a major form of popular music in the 1970s, with notable bands such as AC/DC, the Who, Led Zeppelin, Queen, Black Sabbath, Deep Purple, Aerosmith, KISS and Van Halen.",[CLS],0.0
30,17,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Dou",Bowling,What sport is Let's Go?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",bowling,1.0
31,17,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Dou",the stage,What has Let's Go Bowling shared with many diverse musical acts?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",the stage,1.0
32,17,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Dou",many diverse musical acts,Who has Let's Go Bowling shared the stage with?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",many diverse musical acts,1.0
33,17,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Dou",No Dou,What is the name of one of the musical acts that has shared the stage with Let's Go Bowling?,"Let's Go Bowling has shared the stage with many diverse musical acts, including No Doubt, Pearl Jam, Goo Goo Dolls, Men at Work, The English Beat, Steel Pulse, Busta Rhymes, The Skatalites, Reel Big Fish, Reverend Horton Heat, Fishbone, The Untouchables, Cherry Poppin' Daddies, Tokyo Ska Paradise Orchestra, Moe., the Young Dubliners, and Shaggy.",no doubt,0.5
34,18,apprentice: i don't really know the rules of american football. wizard: oh really?,NO_Q,NO_Q,NFL RedZone from NFL Network is an American sports television channel owned and operated by NFL Network since 2009.,NO_Q,-1.0
35,19,"Wizard: Yes, it's a good idea.",a good idea,Is it a good idea or not?,no_passages_used,no<unk>passages<unk>used,0.0
36,20,Harry Potter chronicles the life of Harry Potter and his friends.,Harry Potter,What book chronicles the life of Harry Potter and his friends?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",[CLS],0.0
37,20,Harry Potter chronicles the life of Harry Potter and his friends.,Harry Potter,What book chronicles the life of Harry Potter and his friends?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",[CLS],0.0
38,20,Harry Potter chronicles the life of Harry Potter and his friends.,the life,What does Harry Potter chronicle about him and his friends?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",[CLS],0.0
39,20,Harry Potter chronicles the life of Harry Potter and his friends.,his friends,Harry Potter chronicles his life with whom?,"The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",[CLS],0.0
40,21,The first depiction of a skier with two ski poles dates to 1741,two,How many ski poles did the first depiction of a skier have?,The first depiction of a skier with two ski poles dates to 1741.,two,1.0
41,21,The first depiction of a skier with two ski poles dates to 1741,1741,When was the first depiction of a skier with two ski poles?,The first depiction of a skier with two ski poles dates to 1741.,1741,1.0
42,21,The first depiction of a skier with two ski poles dates to 1741,a skier,What was the first depiction of with two ski poles?,The first depiction of a skier with two ski poles dates to 1741.,a skier,1.0
43,21,The first depiction of a skier with two ski poles dates to 1741,two ski poles,What is the first depiction of a skier with?,The first depiction of a skier with two ski poles dates to 1741.,two ski poles,1.0
44,22,"apprentice: i'm so sad. i broke up with my girlfriend, well ex girlfriend,",NO_Q,NO_Q,no_passages_used,NO_Q,-1.0
45,23,Wizard: I've heard that the zombies are a lot more dangerous than they look,the zombies,What is a lot more dangerous than they look?,"A zombie (Haitian French: """", ) is a fictional undead being created through the reanimation of a human corpse.",[CLS],0.0
