,episode_idx,topic,round,message,response,knowledge,gold,Q2
0,0,Elvis Presley,4,I would love to tour his home.  Which one of his songs is your favorite?/,Fibber McGee and Molly,"Jailhouse Rock is a 1957 American musical drama film directed by Richard Thorpe and starring Elvis Presley, Judy Tyler, and Mickey Shaughnessy.","I always liked ""Hounddog."" My grandpa heard Elvis sing it live in Memphis.",0.0
1,1,Ireland,3,"Exactly, do you know any thing about Island north Atlantic?","Starr married Maureen Cox in 1965, and they had three children together: Za","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",There are lots of low-lying mountains in Ireland. Do you fancy a hike?,0.0
2,2,Archery,3,And a great sport it is. Do you know where archery originated from?,The Upper Paleolithic,"Based on indirect evidence, the bow seems to have been invented near the transition from the Upper Paleolithic to the Mesolithic, some 10,000 years ago.","It's a very old one, practiced for at least 10,000 years used for military or hunting in many cultures.",0.6666666666666666
3,3,Chihuahua (dog),3,"Yep, they get a bad rap about their demeanor too. Most people say they're mean but one of mine is the sweetest ever.",Popstars: The Rivals,The Chihuahua () is the smallest breed of dog and is named after the state of Chihuahua in Mexico.,"Yeah their history is shrouded in mystery, but the breed originated in Mexico.",0.0
4,4,Motivation,4,I am not. Could you tell me about them?,"The Nitty Gritty Dirt Band was founded around 1966 in Long Beach, California by singer","Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"".","They said that ""Motivation is a word that is part of the popular culture as few other psychological concepts are.""  Do you agree with what they said?",0.0
5,5,Hunting,4,I can understand about the gophers. And the geese. Canada geese are a scourge!,The BQE was a live show.,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.","The Canadian geese can become huge pests too. In the midwest they often get comfortable in parks and refuse to fly south, leaving droppings everywhere.",0.0
6,6,The Walking Dead (TV series),4,When did the series start?  ,The Walking Dead,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","The Walk Dead premiered in 2010, as a cable tv show on AMC",0.0
7,7,Harry Potter,4,"I have heard that, I recognize her name, I know she is very famous",Delano's reputation for personal honesty came under increasing scrutiny as revelations of corruption in,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.","Yeah she wasn't famous before writing Harry Potter, she says she came up with the idea while on a delayed train from Manchester to London in 1990.",0.0
8,8,Thierry Henry,3,Yes I think he retired many years ago. He was a coach for Belgium during the World Cup.,Thierry Henry is a retired French professional footballer. He was a coach for Belgium,At international level he represented France and is his country's record goalscorer.,"He played for Monaco, Juventus, Barcelona, New York Red Bulls so he has been almost everywere ",0.0
10,10,Broken heart,3,"I don't know if I have, I mean maybe when my dog was put down but that seems like it was the worst emotional pain I've had.",Lawrence and Solter in 1909 were able to join the Independent Moving Pictures Company of America,"The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.","When I had to put down my cat, I suffered immensely! The pain is severe and and can cause ""broken heart syndrome"" which means actual physical damage to your heart.",0.0
11,11,List of national parks of the United States,3,"Yes, I have never been there but I would love to go, have you been?",Jefferson's earnings reputedly enabled him to buy a car and employ chauffeurs,no_passages_used,"I have! I've also been to Rock Creek Park, Yosemite, and Mackinac National Park!",0.0
12,12,Discovery Channel,4,It was? I haven't been around for long enough to have seen that.,"The first single ""Ah! Leah!"" peaked at #29 on the Bill","Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.","itspopular too, discovery channel is the third most distributed on cabel",0.0
13,13,American football,3,"They had a great run in the 1990's. Plus, now that new stadium is rather impressive hopefully they can live up to it.","Joe Gibbs helped craft a passing-oriented attack during his time in San Diego,","Antonio Ramiro Romo (born April 21, 1980) is an American football television analyst and former quarterback who played 14 seasons with the Dallas Cowboys of the National Football League (NFL).","yes one day our offense will do great things with the football. Running, passing our way to victory.",0.0
14,14,Guns N' Roses,3,Id say my favorite is Appetite for destruction ,"Alecia Beth Moore was born on September 8, 1979, in Doylestown, Pennsylvania, to","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",Yes that is  good.  They have released six studio albums and sold more than 100 million records worldwide.,0.0
15,15,Nickelback,3,"The lead singer was very funny during the set, I forget his name though.",The album earned him Billboard and Univision's Latin Music Award for Mexican Regional Male Artist,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.",I wasn't aware at first but Nickelback is not American there originating from Canada,0.0
